date,World,Afghanistan,Africa,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Asia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire Sint Eustatius and Saba,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Europe,European Union,Faeroe Islands,Falkland Islands,Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,High income,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,International,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low income,Lower middle income,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia (country),Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North America,North Korea,North Macedonia,Norway,Oceania,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South America,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Upper middle income,Uruguay,Uzbekistan,Vanuatu,Vatican,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
2020-02-01,12038.0,,,,,,,,,,,,11991.0,12.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,,11871.0,,,,,,,,,,,,,,,,,,,,,,,,,23.0,19.0,,,,1.0,6.0,,,,,8.0,,,,,,,,,,,127.0,,13.0,,,1.0,,,,,,,,2.0,,20.0,,,,,,,,,,,,,,,,,11.0,,7.0,,,8.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,12.0,,,,12.0,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,16.0,,,,,,,12.0,,1.0,1.0,,,1.0,,,10.0,,,19.0,,,,,,,,,,,4.0,2.0,8.0,11900.0,,,,,,6.0,,,,
2020-02-02,16787.0,,,,,,,,,,,,16738.0,12.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,,16607.0,,,,,,,,,,,,,,,,,,,,,,,,,25.0,21.0,,,,1.0,6.0,,,,,10.0,,,,,,,,,,,138.0,,15.0,,,2.0,,,,,,,,2.0,,20.0,,,,,,,,,,,,,,,,,13.0,,8.0,,,8.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,12.0,,,,12.0,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,18.0,,,,,,,15.0,,1.0,1.0,,,1.0,,,10.0,,,19.0,,,,,,,,,,,5.0,2.0,8.0,16636.0,,,,,,6.0,,,,
2020-02-03,19887.0,,,,,,,,,,,,19827.0,12.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,,19693.0,,,,,,,,,,,,,,,,,,,,,,,,,33.0,23.0,,,,1.0,6.0,,,,,12.0,,,,,,,,,,,149.0,,15.0,,,3.0,,,,,,,,2.0,,20.0,,,,,,,,,,,,,,,,,16.0,,8.0,,,8.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,15.0,,,,12.0,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,18.0,,,,,,,15.0,,1.0,1.0,,,1.0,,,10.0,,,19.0,,,,,,,,,,,5.0,8.0,11.0,19722.0,,,,,,8.0,,,,
2020-02-04,23899.0,,,,,,,,,,,,23836.0,13.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,5.0,,,,,,23680.0,,,,,,,,,,,,,,,,,,,,,,,,,34.0,24.0,,,,1.0,6.0,,,,,12.0,,,,,,,,,,,166.0,,17.0,,,3.0,,,,,,,,2.0,,22.0,,,,,,,,,,,,,,,,,16.0,,10.0,,,10.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,16.0,,,,13.0,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,24.0,,,,,,,16.0,,1.0,1.0,,,1.0,,,11.0,,,25.0,,,,,,,,,,,5.0,8.0,11.0,23717.0,,,,,,8.0,,,,
2020-02-05,27644.0,,,,,,,,,,,,27579.0,13.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,6.0,,,,,,27409.0,,,,,,,,,,,,,,,,,,,,,,,,,35.0,24.0,,,,1.0,6.0,,,,,12.0,,,,,,,,,,,180.0,,21.0,,,3.0,,,,,,,,2.0,,23.0,,,,,,,,,,,,,,,,,16.0,,10.0,,,12.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,17.0,,,,13.0,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,28.0,,,,,,,19.0,,1.0,1.0,,,1.0,,,11.0,,,25.0,,,,,,,,,,,5.0,9.0,11.0,27448.0,,,,,,8.0,,,,
2020-02-06,30806.0,,,,,,,,,,,,30739.0,14.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,6.0,,,,,,30553.0,,,,,,,,,,,,,,,,,,,,,,,,,35.0,24.0,,,,1.0,6.0,,,,,12.0,,,,,,,,,,,194.0,,24.0,,,3.0,,,,,,,,2.0,,23.0,,,,,,,,,,,,,,,,,18.0,,10.0,,,14.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,18.0,,,,14.0,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,28.0,,,,,,,23.0,,1.0,1.0,,,1.0,,,16.0,,,25.0,,,,,,,,,,,5.0,9.0,12.0,30594.0,,,,,,10.0,,,,
2020-02-07,34400.0,,,,,,,,,,,,34267.0,15.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,8.0,,,,,,34075.0,,,,,,,,,,,,,,,,,,,,,,,,,37.0,26.0,,,,1.0,6.0,,,,,13.0,,,,,,,,,,,203.0,,25.0,,,3.0,,61.0,,,,,,3.0,,23.0,,,,,,,,,,,,,,,,,19.0,,10.0,,,15.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,20.0,,,,15.0,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,30.0,,,,,,,24.0,,1.0,1.0,,,1.0,,,16.0,,,25.0,,,,,,,,,,,5.0,9.0,12.0,34117.0,,,,,,10.0,,,,
2020-02-08,37131.0,,,,,,,,,,,,36989.0,15.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,8.0,,,,,,36778.0,,,,,,,,,,,,,,,,,,,,,,,,,46.0,31.0,,,,1.0,11.0,,,,,13.0,,,,,,,,,,,220.0,,26.0,,,3.0,,61.0,,,,,,3.0,,24.0,,,,,,,,,,,,,,,,,22.0,,10.0,,,16.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,20.0,,,,15.0,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,33.0,,,,,,,24.0,,1.0,1.0,,,1.0,,,17.0,,,32.0,,,,,,,,,,,7.0,13.0,12.0,36828.0,,,,,,13.0,,,,
2020-02-09,40162.0,,,,,,,,,,,,40014.0,15.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,8.0,,,,,,39790.0,,,,,,,,,,,,,,,,,,,,,,,,,49.0,33.0,,,,1.0,11.0,,,,,14.0,,,,,,,,,,,235.0,,29.0,,,3.0,,64.0,,,,,,3.0,,24.0,,,,,,,,,,,,,,,,,22.0,,10.0,,,17.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,20.0,,,,15.0,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,40.0,,,,,,,25.0,,2.0,1.0,,,1.0,,,18.0,,,32.0,,,,,,,,,,,7.0,14.0,12.0,39841.0,,,,,,13.0,,,,
2020-02-10,42771.0,,,,,,,,,,,,42551.0,15.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,9.0,,,,,,42306.0,,,,,,,,,,,,,,,,,,,,,,,,,49.0,33.0,,,,1.0,11.0,,,,,14.0,,,,,,,,,,,255.0,,38.0,,,3.0,,135.0,,,,,,3.0,,26.0,,,,,,,,,,,,,,,,,23.0,,10.0,,,18.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,21.0,,,,15.0,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,45.0,,,,,,,27.0,,2.0,1.0,,,1.0,,,18.0,,,32.0,,,,,,,,,,,8.0,14.0,12.0,42358.0,,,,,,14.0,,,,
2020-02-11,44814.0,,,,,,,,,,,,44589.0,15.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,9.0,,,,,,44327.0,,,,,,,,,,,,,,,,,,,,,,,,,53.0,36.0,,,,2.0,11.0,,,,,16.0,,,,,,,,,,,275.0,,49.0,,,3.0,,135.0,,,,,,3.0,,27.0,,,,,,,,,,,,,,,,,24.0,,10.0,,,18.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,22.0,,,,15.0,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,47.0,,,,,,,28.0,,2.0,1.0,,,1.0,,,18.0,,,33.0,,,,,,,,,,,8.0,15.0,13.0,44380.0,,,,,,15.0,,,,
2020-02-12,45232.0,,,,,,,,,,,,44966.0,15.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,9.0,,,,,,44699.0,,,,,,,,,,,,,,,,,,,,,,,,,54.0,36.0,,,,2.0,11.0,,,,,16.0,,,,,,,,,,,281.0,,50.0,,,3.0,,175.0,,,,,,3.0,,28.0,,,,,,,,,,,,,,,,,24.0,,10.0,,,18.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,22.0,,,,15.0,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,50.0,,,,,,,28.0,,2.0,1.0,,,1.0,,,18.0,,,33.0,,,,,,,,,,,8.0,16.0,13.0,44752.0,,,,,,15.0,,,,
2020-02-13,60384.0,,,,,,,,,,,,60116.0,15.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,9.0,,,,,,59832.0,,,,,,,,,,,,,,,,,,,,,,,,,55.0,36.0,,,,2.0,11.0,,,,,16.0,,,,,,,,,,,299.0,,53.0,,,3.0,,175.0,,,,,,3.0,,33.0,,,,,,,,,,,,,,,,,25.0,,10.0,,,18.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,23.0,,,,15.0,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,58.0,,,,,,,28.0,,2.0,1.0,,,1.0,,,18.0,,,33.0,,,,,,,,,,,8.0,17.0,14.0,59885.0,,,,,,16.0,,,,
2020-02-14,66912.0,,1.0,,,,,,,,,,66599.0,15.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,9.0,,,,,,66292.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,56.0,36.0,,,,2.0,11.0,,,,,16.0,,,,,,,,,,,322.0,,56.0,,,3.0,,218.0,,,,,,3.0,,43.0,,,,,,,,,,,,,,,,,26.0,,10.0,,,19.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,23.0,,,,15.0,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,67.0,,,,,,,28.0,,2.0,1.0,,,1.0,,,18.0,,,33.0,,,,,,,,,,,8.0,18.0,14.0,66346.0,,,,,,16.0,,,,
2020-02-15,69055.0,,1.0,,,,,,,,,,68674.0,15.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,9.0,,,,,,68347.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,57.0,37.0,,,,2.0,12.0,,,,,16.0,,,,,,,,,,,339.0,,56.0,,,3.0,,285.0,,,,,,3.0,,54.0,,,,,,,,,,,,,,,,,26.0,,10.0,,,22.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,23.0,,,,15.0,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,72.0,,,,,,,28.0,,2.0,1.0,,,1.0,,,18.0,,,34.0,,,,,,,,,,,8.0,18.0,14.0,68405.0,,,,,,16.0,,,,
2020-02-16,71238.0,,1.0,,,,,,,,,,70787.0,15.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,9.0,,,,,,70446.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,57.0,37.0,,,,2.0,12.0,,,,,16.0,,,,,,,,,,,353.0,,57.0,,,3.0,,355.0,,,,,,3.0,,60.0,,,,,,,,,,,,,,,,,26.0,,10.0,,,22.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,23.0,,,,15.0,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,75.0,,,,,,,29.0,,2.0,1.0,,,1.0,,,20.0,,,34.0,,,,,,,,,,,9.0,18.0,14.0,70504.0,,,,,,16.0,,,,
2020-02-17,73273.0,,1.0,,,,,,,,,,72721.0,15.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,10.0,,,,,,72364.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,58.0,37.0,,,,2.0,12.0,,,,,16.0,,,,,,,,,,,370.0,,60.0,,,3.0,,454.0,,,,,,3.0,,67.0,,,,,,,,,,,,,,,,,26.0,,10.0,,,22.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,24.0,,,,15.0,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,77.0,,,,,,,30.0,,2.0,1.0,,,1.0,,,22.0,,,35.0,,,,,,,,,,,9.0,19.0,14.0,72423.0,,,,,,16.0,,,,
2020-02-18,75155.0,,1.0,,,,,,,,,,74515.0,15.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,10.0,,,,,,74139.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,58.0,37.0,,,,2.0,12.0,,,,,16.0,,,,,,,,,,,389.0,,62.0,,,3.0,,542.0,,,,,,3.0,,79.0,,,,,,,,,,,,,,,,,26.0,,10.0,,,22.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,24.0,,,,15.0,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,81.0,,,,,,,31.0,,2.0,1.0,,,1.0,,,22.0,,,35.0,,,,,,,,,,,9.0,19.0,14.0,74198.0,,,,,,16.0,,,,
2020-02-19,75655.0,,1.0,,,,,,,,,,74935.0,15.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,10.0,,,,,,74546.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,59.0,37.0,,,,2.0,12.0,,,,,16.0,,,,,,,,,,,401.0,,63.0,,,3.0,,621.0,2.0,,,,,3.0,,85.0,,,,,,,,,,,,,,,,,28.0,,10.0,,,22.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,24.0,,,,15.0,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,84.0,,,,,,,31.0,,2.0,1.0,,,1.0,,,23.0,,,35.0,,,,,,,,,,,9.0,20.0,14.0,74605.0,,,,,,16.0,,,,
2020-02-20,76216.0,,1.0,,,,,,,,,,75480.0,15.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,11.0,,,,,,74999.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,61.0,37.0,,,,2.0,12.0,,,,,16.0,,,,,,,,,,,493.0,,68.0,,,3.0,,634.0,5.0,,,,,3.0,,95.0,,,,,,,,,,,,,,,,,31.0,,10.0,,,22.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,25.0,,,,15.0,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,84.0,,,,,,,104.0,,2.0,1.0,,,1.0,,,24.0,,,35.0,,,,,,,,,,,9.0,22.0,14.0,75058.0,,,,,,16.0,,,,
2020-02-21,76846.0,,1.0,,,,,,,,,,76088.0,15.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,13.0,,,,,,75472.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,79.0,54.0,,,,2.0,12.0,,,,,16.0,,,,,,,,,,,636.0,,68.0,,,3.0,,634.0,18.0,,,,1.0,20.0,,112.0,,,,,,,,,,1.0,,,,,,,45.0,,10.0,,,22.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,29.0,,,,15.0,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,85.0,,,,,,,204.0,,2.0,1.0,,,1.0,,,26.0,,,35.0,,,,,,,,,,,9.0,23.0,16.0,75531.0,,,,,,16.0,,,,
2020-02-22,78608.0,,1.0,,,,,,,,,,77807.0,15.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,14.0,,,,,,76922.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,121.0,96.0,,,,2.0,12.0,,,,,16.0,,,,,,,,,,,938.0,,69.0,,,3.0,,634.0,28.0,,,,1.0,62.0,,137.0,,,,,,,,,,1.0,,,,,,,55.0,,10.0,,,22.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,30.0,,,,15.0,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,85.0,,,,,,,433.0,,2.0,1.0,,,1.0,,,26.0,,,35.0,,,,,,,,,,,13.0,23.0,16.0,76981.0,,,,,,16.0,,,,
